plural,singular
octogenarians,octogenarian
hemophiliacs,hemophiliac
part time hookers,part time hooker
Trump supporters,Trump supporter
spies,spy
midgets,midget
flat-earth conspiracists,flat-earth conspiracist
climate change deniers,climate change denier
vegans,vegan
people from Wales,person from Wales
cloned versions of your family,cloned version of a family member
muggles,muggle
rugby players,rugby player
Nazi apologists,Nazi apologist
aliens from the planet Bagodicks,alien from the planet Bagodicks
gang members,gang member
characters in your erotic dream who are quite clearly projections of your repressed sub-concious,character in your erotic dream who is quite clearly a projection of your repressed sub-concious
gigolos,gigolo
demagogues,demagogue
religious icons,religious icon
war veterans,war veteran
creationists,creationist
characters from CBBC,character from CBBC
school teachers who were mean to you,school teacher who was mean to you
gabba DJs,gabba DJ
hipsters,hipster
football hooligans,football hooligan
communists,communist
racists,racist
1970s TV presenters masquerading as lolly-pop men,1970s TV presenter masquerading as a lolly-pop man
Thatcherites,Thatcherite
hippies,hippy
reality TV contestants,reality TV contestant
porn stars,porn star
farmers,farmer
animals,animal
tree surgeons,tree surgeon
time travellers,time traveller
androids,android
scientologists,scientologist
